,image,steering,random_shift,is_shift
0, IMG/left_2016_12_01_13_30_48_287.jpg,0.23,0,False
3, IMG/left_2016_12_01_13_30_48_404.jpg,0.23,0,False
23,IMG/center_2016_12_01_13_31_13_482.jpg,0.0,0,False
36, IMG/left_2016_12_01_13_31_13_991.jpg,0.23,0,False
45, IMG/left_2016_12_01_13_31_14_295.jpg,0.23,0,False
47,IMG/center_2016_12_01_13_31_14_295.jpg,0.0,0,False
50,IMG/center_2016_12_01_13_31_14_398.jpg,0.0,0,False
53,IMG/center_2016_12_01_13_31_14_500.jpg,0.0,0,False
54, IMG/left_2016_12_01_13_31_14_602.jpg,0.23,0,False
55, IMG/right_2016_12_01_13_31_14_602.jpg,-0.23,0,False
62,IMG/center_2016_12_01_13_31_14_803.jpg,0.0,0,False
63, IMG/left_2016_12_01_13_31_14_904.jpg,0.23,0,False
64, IMG/right_2016_12_01_13_31_14_904.jpg,-0.23,0,False
65,IMG/center_2016_12_01_13_31_14_904.jpg,0.0,0,False
69, IMG/left_2016_12_01_13_31_15_106.jpg,0.23,0,False
72, IMG/left_2016_12_01_13_31_15_208.jpg,0.23,0,False
86,IMG/center_2016_12_01_13_32_35_588.jpg,0.0,0,False
89,IMG/center_2016_12_01_13_32_39_212.jpg,0.0,0,False
101,IMG/center_2016_12_01_13_32_41_640.jpg,0.0,0,False
103, IMG/right_2016_12_01_13_32_41_740.jpg,-0.23,0,False
106, IMG/right_2016_12_01_13_32_41_841.jpg,-0.23,0,False
110,IMG/center_2016_12_01_13_32_41_943.jpg,0.0,0,False
113,IMG/center_2016_12_01_13_32_42_043.jpg,0.0,0,False
118, IMG/right_2016_12_01_13_32_42_245.jpg,-0.23,0,False
119,IMG/center_2016_12_01_13_32_42_245.jpg,0.0,0,False
128,IMG/center_2016_12_01_13_32_42_548.jpg,0.0,0,False
139, IMG/right_2016_12_01_13_32_42_952.jpg,-0.23,0,False
141, IMG/left_2016_12_01_13_32_43_053.jpg,0.23,0,False
145, IMG/right_2016_12_01_13_32_43_154.jpg,-0.23,0,False
146,IMG/center_2016_12_01_13_32_43_154.jpg,0.0,0,False
149,IMG/center_2016_12_01_13_32_43_256.jpg,0.0,0,False
153, IMG/left_2016_12_01_13_32_44_165.jpg,0.23,0,False
155,IMG/center_2016_12_01_13_32_44_165.jpg,0.0,0,False
170,IMG/center_2016_12_01_13_32_44_671.jpg,0.0,0,False
176,IMG/center_2016_12_01_13_32_44_873.jpg,0.0,0,False
178, IMG/right_2016_12_01_13_32_44_974.jpg,-0.23,0,False
179,IMG/center_2016_12_01_13_32_44_974.jpg,0.0,0,False
181, IMG/right_2016_12_01_13_32_45_074.jpg,-0.23,0,False
188,IMG/center_2016_12_01_13_32_45_881.jpg,0.0,0,False
197,IMG/center_2016_12_01_13_32_46_587.jpg,0.0,0,False
198, IMG/left_2016_12_01_13_32_46_689.jpg,0.23,0,False
210, IMG/left_2016_12_01_13_32_47_695.jpg,0.23,0,False
213, IMG/left_2016_12_01_13_32_47_797.jpg,0.23,0,False
215,IMG/center_2016_12_01_13_32_47_797.jpg,0.0,0,False
221,IMG/center_2016_12_01_13_32_47_998.jpg,0.0,0,False
222, IMG/left_2016_12_01_13_32_49_311.jpg,0.23,0,False
224,IMG/center_2016_12_01_13_32_49_311.jpg,0.0,0,False
225, IMG/left_2016_12_01_13_32_49_413.jpg,0.23,0,False
230,IMG/center_2016_12_01_13_32_49_817.jpg,0.0,0,False
231, IMG/left_2016_12_01_13_32_49_919.jpg,0.23,0,False
245,IMG/center_2016_12_01_13_32_50_323.jpg,0.0,0,False
256, IMG/right_2016_12_01_13_32_50_726.jpg,-0.23,0,False
261, IMG/left_2016_12_01_13_32_50_928.jpg,0.23,0,False
263,IMG/center_2016_12_01_13_32_50_928.jpg,0.0,0,False
266,IMG/center_2016_12_01_13_32_51_028.jpg,0.0,0,False
267, IMG/left_2016_12_01_13_32_51_130.jpg,0.23,0,False
273, IMG/left_2016_12_01_13_32_51_335.jpg,0.23,0,False
278,IMG/center_2016_12_01_13_32_51_842.jpg,0.0,0,False
281,IMG/center_2016_12_01_13_32_51_944.jpg,0.0,0,False
282, IMG/left_2016_12_01_13_32_52_045.jpg,0.23,0,False
290,IMG/center_2016_12_01_13_32_52_248.jpg,0.0,0,False
299,IMG/center_2016_12_01_13_32_53_561.jpg,0.0,0,False
300, IMG/left_2016_12_01_13_32_53_662.jpg,0.23,0,False
302,IMG/center_2016_12_01_13_32_53_662.jpg,0.0,0,False
313, IMG/right_2016_12_01_13_32_55_279.jpg,-0.23,0,False
315, IMG/left_2016_12_01_13_32_55_380.jpg,0.23,0,False
321, IMG/left_2016_12_01_13_32_55_583.jpg,0.23,0,False
326,IMG/center_2016_12_01_13_32_55_684.jpg,0.0,0,False
328, IMG/right_2016_12_01_13_32_56_292.jpg,-0.23,0,False
331, IMG/right_2016_12_01_13_32_56_393.jpg,-0.23,0,False
332,IMG/center_2016_12_01_13_32_56_393.jpg,0.0,0,False
341,IMG/center_2016_12_01_13_32_56_695.jpg,0.0,0,False
344,IMG/center_2016_12_01_13_32_56_796.jpg,0.0,0,False
345, IMG/left_2016_12_01_13_32_57_609.jpg,0.23,0,False
346, IMG/right_2016_12_01_13_32_57_609.jpg,-0.23,0,False
356,IMG/center_2016_12_01_13_32_58_417.jpg,0.0,0,False
362,IMG/center_2016_12_01_13_32_58_621.jpg,0.0,0,False
363, IMG/left_2016_12_01_13_32_58_722.jpg,0.23,0,False
366, IMG/left_2016_12_01_13_32_58_822.jpg,0.23,0,False
367, IMG/right_2016_12_01_13_32_58_822.jpg,-0.23,0,False
368,IMG/center_2016_12_01_13_32_58_822.jpg,0.0,0,False
380,IMG/center_2016_12_01_13_33_00_032.jpg,0.0,0,False
381, IMG/left_2016_12_01_13_33_00_134.jpg,0.23,0,False
386,IMG/center_2016_12_01_13_33_00_234.jpg,0.0,0,False
389,IMG/center_2016_12_01_13_33_00_336.jpg,0.0,0,False
393, IMG/left_2016_12_01_13_33_00_540.jpg,0.23,0,False
394, IMG/right_2016_12_01_13_33_00_540.jpg,-0.23,0,False
